orange_area_fraction,deltaE_from_background,log10_seconds,seconds
0.3147,9.1014,3.1867,1537.1
0.9292,11.1091,4.1808,15163.6
0.39111,10.1041,3.73683,5455.5
0.19482,6.1074,1.72582,53.2
0.1438,12.5713,1.99966,99.9
0.98535,14.9469,4.09437,12427.0
0.01733,8.9711,0.92233,8.4
0.89038,6.9823,3.90321,8002.2
0.28589,16.6006,3.81495,6530.6
0.81128,5.9915,2.61256,409.8
0.0,0.0,2.01013,102.4
0.31738,13.5605,1.92024,83.2
0.13696,9.2899,1.83418,68.3
0.16992,10.7402,2.52905,338.1
0.54858,5.1939,2.74631,557.6
0.5249,6.3257,2.92513,841.7
0.99951,0.0066,4.53986,34662.8
0.29077,11.6765,3.79885,6292.9
0.41357,9.4324,3.17604,1499.8
0.99829,17.766,4.51597,32807.4
0.0,0.0,1.68966,48.9
0.97998,8.133,1.48838,30.8
0.22876,12.8002,3.14083,1383.0
0.0022,11.7349,1.06362,11.6
0.3374,2.8759,1.03344,10.8
0.30249,9.6698,2.78409,608.3
0.11401,8.9582,2.60624,403.9
0.99805,10.8259,4.2537,17934.9
0.5481,7.6407,3.20179,1591.4
0.97192,8.0692,2.78127,604.3
1.0,0.0,2.71827,522.7
0.01245,14.3435,1.80731,64.2
0.0,0.0,0.94618,8.8
0.15039,12.6709,1.60598,40.4
0.26001,10.3389,3.43123,2699.2
0.01929,14.5603,1.63595,43.2
0.17383,8.4277,2.25308,179.1
0.0,0.0,0.91673,8.3
0.94873,14.412,3.93543,8618.5
0.9729,6.6451,1.46737,29.3
0.82007,5.9907,1.88069,76.0
0.45264,10.0746,4.11913,13156.2
0.18774,10.5948,2.76546,582.7
0.23315,9.4916,3.99791,9952.0
0.50098,10.5073,3.24011,1738.3
1.0,0.0,3.61294,4101.4
0.00366,9.2032,1.23734,17.3
0.18872,8.6946,2.88,758.6
0.54517,8.627,2.75809,572.9
0.46069,7.4215,4.08628,12197.7
0.30273,7.1711,2.22286,167.1
0.99829,12.7986,3.08838,1225.7
0.03003,8.8817,1.11955,13.2
0.0083,10.3043,2.31919,208.5
0.04443,11.8141,2.08321,121.1
0.10449,8.9077,1.4518,28.3
0.2146,15.1547,3.88535,7679.7
0.03906,11.0676,2.28929,194.7
1.0,0.0,4.47866,30106.8
1.0,0.0,3.05846,1144.1
0.06128,12.9622,3.11349,1298.6
0.62231,9.5094,3.23383,1713.3
0.2146,14.8128,3.37431,2367.6
1.0,0.0,1.45395,28.4
0.98315,9.5366,2.51165,324.8
0.05347,11.9996,1.77827,60.0
0.2063,8.1438,2.3735,236.3
0.01562,10.042,1.25637,18.0
0.92505,14.5327,4.43877,27464.5
0.02759,11.1445,1.68855,48.8
0.91113,10.7571,3.35719,2276.1
0.01196,20.269,2.00059,100.1
0.89209,13.8029,4.09628,12481.9
0.44971,11.6222,3.3223,2100.4
0.1792,7.444,1.38391,24.2
0.1897,10.5138,3.99033,9779.7
1.0,0.0,4.35519,22656.2
0.48706,8.8129,4.20529,16043.2
0.15063,10.5775,2.9844,964.7
0.24219,5.2882,1.43449,27.2
0.14062,10.3083,1.6062,40.4
0.98535,16.8391,4.29293,19630.3
0.13989,9.835,2.92086,833.4
0.2356,8.241,1.56269,36.5
0.80908,8.4083,4.13274,13574.9
0.2124,12.3733,3.24689,1765.6
0.98462,6.7153,2.9843,964.5
0.57178,7.2309,2.27775,189.6
0.08423,12.3101,2.4044,253.7
0.03564,17.4609,1.77799,60.0
0.00586,8.0501,1.04212,11.0
0.74536,7.0942,4.1041,12708.8
0.18726,10.4647,2.61181,409.1
0.19751,11.6417,2.90372,801.2
0.00269,20.0167,2.08002,120.2
0.42578,11.9864,3.64784,4444.7
0.9895,5.0268,0.99514,9.9
